A0;A0_1;A0_7;A1;Residencia;CCAA;A14;A15;A16;A13_1;Factor
2;20161200004528;3;2;13;98;0;5;0;1;200.8837726
2;20161200003008;2;2;13;04;8;1;6;6;34.322560214
1;20150400076106;2;1;13;13;1;1;1;4;407.41125216
1;20161200010546;2;2;13;09;1;1;1;3;233.89597199
1;20161200002438;2;2;13;10;1;1;6;2;126.43486759
1;20110500083665;3;1;13;09;0;1;6;1;35.95564939
1;20161200010589;2;2;13;09;1;1;6;3;189.41851452
2;20161200000637;2;2;13;13;1;2;6;3;157.06904059
2;20161200003009;2;2;13;04;1;4;1;5;54.695846001
2;20161200010027;2;2;13;04;1;1;6;5;125.02429078
2;20161200007126;2;1;13;10;7;1;6;5;103.14734423
2;20161200005935;2;2;13;05;7;1;6;3;199.55364367
2;20161200003007;2;2;13;04;8;4;6;4;34.585885302
1;20161200010379;2;2;13;09;2;1;6;4;146.51843929
2;20161200006432;2;2;13;04;2;2;6;6;10.941662137
1;20161200010378;2;2;13;09;1;1;6;3;234.15821546
1;20161200010545;2;2;13;09;1;2;6;4;234.7801346
2;20161000032601;2;1;13;15;1;4;6;2;309.43338771
1;20161200010448;2;2;13;09;1;1;6;4;189.41851452
1;20161200008593;3;2;13;98;0;1;6;1;173.95610619
1;20161201010536;2;2;13;09;1;1;6;4;234.15821546
1;20161201029635;2;2;13;04;1;1;1;4;54.279410558
1;20161202010551;2;2;13;09;1;1;6;4;234.15821546
2;20161201028494;2;2;13;09;1;1;1;3;188.78801467
1;20161203002309;2;2;13;10;1;1;6;3;126.43486759
2;20161201029773;2;2;13;04;1;1;6;4;54.340268471
2;20161201020347;2;2;13;14;1;1;6;3;208.75548983
1;20161202015589;2;2;13;10;8;1;6;4;42.419320771
1;20161201022795;2;2;13;09;1;1;6;3;27.55881814
1;20161202012264;2;2;13;10;6;1;6;4;32.436909092
1;20161203008505;3;2;13;98;0;1;6;1;173.95610619
1;20161202002309;2;2;13;10;1;1;6;3;126.43486759
1;20161201025291;2;2;13;09;2;1;6;4;118.54844913
1;20161202022649;2;2;13;09;1;1;1;3;27.52795388
1;20161201022641;2;2;13;09;1;1;1;3;27.52795388
1;20161201008593;3;2;13;98;0;1;6;1;173.95610619
1;20161201029640;2;2;13;04;1;1;1;4;54.279410558
1;20161203022606;2;2;13;09;1;1;1;3;27.52795388
1;20161201022629;2;2;13;09;1;2;6;3;27.632013764
2;20161201028496;3;2;13;98;0;5;0;1;106.34863675
1;20161204008505;3;2;13;98;0;1;6;1;173.95610619
1;20161201013937;2;2;13;05;1;1;1;6;308.27071006
1;20161202029635;2;2;13;04;1;1;1;4;54.279410558
2;20161201024868;2;2;13;16;8;3;6;4;92.301493758
2;20161201027483;3;2;13;98;0;5;0;1;226.148146
1;20161201029621;2;2;13;04;1;1;1;4;54.279410558
