A0_1;C9_0;ccaa_etapa;pernoc_etapa
20151100003188;01;09;4
20151100003727;01;16;3
20151100004209;01;16;12
20151100004236;01;16;1
20151100004236;02;17;1
20151100004236;03;16;1
20151100004238;01;16;2
20151100004662;01;13;6
20151100004662;02;01;2
20151100004662;03;09;3
20151100004748;01;13;4
20151100004748;02;07;1
20151100004753;01;02;3
20151100004753;02;13;3
20151100004785;01;13;6
20151100004788;01;13;1
20151100004789;01;13;3
20151100005173;01;09;12
20151100005910;01;09;2
20151100005920;01;09;1
20151100005923;01;09;3
20151100006221;01;13;4
20151100006221;02;12;3
20151100006232;01;01;2
20151100006232;02;09;4
20151100006232;03;13;4
20151100006232;04;07;21
20151100006234;01;13;3
20151100006267;01;09;4
20151100006267;02;13;4
20151100006278;01;13;7
20151100006671;01;09;2
20151100006672;01;09;3
20151100006673;01;09;4
20151100006674;01;09;6
20151100006704;01;09;2
20151100006704;02;16;3
20151100006721;01;09;2
20151100006721;02;09;4
20151100006722;01;09;2
20151100006722;02;13;2
20151100006724;01;09;2
20151100006726;01;09;4
20151100008671;01;09;3
20151100008671;02;13;3
20151100008674;01;13;2
20151100008674;02;03;3
20151100008694;01;13;6
20151100008699;01;12;2
20151100008716;01;13;4
20151100008719;01;13;2
20151100008719;02;10;6
20151100008728;01;09;3
20151100008728;02;13;8
20151100010549;01;09;3
20151100010894;01;09;6
20151100010934;01;09;3
20151100010934;02;16;3
20151100010940;01;16;3
20151100011818;01;04;6
20151100011819;01;04;5
20151100011820;01;04;7
20151100011821;01;04;7
20151100011822;01;04;3
20151100011823;01;04;42
20151100011848;01;04;3
20151100011849;01;04;21
20151100011850;01;04;7
20151100011852;01;04;6
20151100012251;01;09;1
20151100012251;02;09;5
20151100012345;01;13;2
20151100012360;01;01;21
20151100012982;01;07;1
20151100012982;02;16;2
20151100012982;03;16;1
20151100012982;04;12;2
20151100012982;05;07;1
20151100013014;01;16;21
20151100015187;01;09;1
20151100015223;01;09;4
20151100015223;02;10;4
20151100015242;01;09;2
20151100015242;02;13;2
20151100016610;01;13;7
20151100016643;01;09;2
20151100016643;02;09;3
20151100016643;03;09;2
20151100016905;01;16;2
20151100016908;01;07;1
20151100017085;01;09;4
20151100017085;02;13;3
20151100018062;01;09;3
20151100018063;01;09;2
20151100018109;01;09;4
20151100018121;01;09;25
20151100019051;01;13;9
20151100019828;01;13;2
20151100020170;01;09;5
20151100020170;02;13;3
20151100020170;03;07;11
20151100020182;01;13;2
20151100020202;01;01;1
20151100020202;02;01;15
20151100020202;03;13;4
20151100020204;01;13;3
20151100020204;02;09;4
20151100020206;01;08;5
20151100020209;01;12;23
20151100022242;01;16;2
20151100022274;01;16;4
20151100022372;01;04;7
20151100022373;01;04;14
20151100022374;01;04;2
20151100022376;01;04;7
20151100022449;01;04;25
20151100022450;01;04;3
20151100022451;01;04;6
20151100023174;01;04;4
20151100023175;01;04;10
20151100023176;01;04;14
20151100023177;01;04;10
20151100023182;01;04;8
20151100023209;01;04;10
20151100023213;01;04;42
20151100023214;01;04;4
20151100023369;01;09;4
20151100023370;01;01;4
20151100023372;01;09;4
20151100023821;01;15;1
20151100023887;01;14;7
20151100023890;01;10;4
20151100023906;01;10;7
20151100023906;02;10;30
20151100023906;03;10;20
20151100024148;01;04;7
20151100024149;01;04;5
20151100024150;01;04;6
20151100024241;01;04;7
20151100024242;01;04;5
20151100024244;01;04;4
20151100025969;01;01;3
20151100025969;02;13;4
20151100025986;01;13;5
20151100025986;02;12;3
20151100025987;01;03;5
20151100025990;01;02;3
20151100025992;01;13;4
20151100025996;01;13;2
20151100025996;02;01;7
20151100025996;03;01;1
20151100026009;01;13;5
20151100026012;01;13;4
20151100026027;01;09;4
20151100026027;02;13;4
20151100026032;01;13;4
20151100026037;01;14;10
20151100026084;01;16;2
20151100026084;02;03;2
20151100026084;03;12;5
20151100028842;01;09;3
20151100028923;01;05;5
20151100028925;01;05;5
20151100030142;01;13;2
20151100030180;01;02;3
20151100030188;01;02;3
20151100030195;01;02;20
20151100030253;01;04;10
20151100030254;01;04;6
20151100030255;01;04;6
20151100030257;01;04;5
20151100030258;01;04;14
20151100030279;01;04;5
20151100030280;01;04;9
20151100030281;01;04;5
20151100033658;01;04;12
20151100033659;01;04;6
20151100033660;01;04;5
20151100033661;01;04;5
20151100033662;01;04;4
20151100035624;01;04;12
20151100035625;01;04;7
20151100035626;01;04;6
20151100035628;01;04;7
20151100035629;01;04;5
20151100036155;01;16;3
20151100036189;01;16;6
20151100037387;01;01;60
20151100037388;01;14;7
20151100037389;01;13;7
20151100037390;01;14;7
20151100037391;01;14;14
20151100037392;01;10;7
20151100037393;01;14;21
20151100037394;01;01;1
20151100037394;02;01;2
20151100037394;03;14;11
20151100037395;01;14;14
20151100037396;01;14;2
20151100037397;01;14;5
20151100037398;01;01;5
20151100037399;01;14;5
20151100037400;01;10;7
20151100037401;01;14;4
20151100037402;01;08;11
20151100037403;01;14;60
20151100038395;01;04;6
20151100038396;01;04;4
20151100038397;01;04;1
20151100038400;01;04;2
20151100038401;01;04;3
20151100038402;01;04;4
20151100039291;01;05;15
20151100039291;02;02;1
20151100039296;01;09;3
20151100039296;02;09;4
20151100039394;01;09;2
20151100039397;01;09;5
20151100039399;01;09;4
20151100039400;01;09;2
20151100039435;01;10;1
20151100039435;02;01;1
20151100039435;03;13;3
20151100039435;04;09;2
20151100039435;05;01;1
20151100039436;01;09;5
20151100039438;01;09;4
