"Anyo","Mes","Destino_CCAA","Viajeros"
"16","4","3",12790.54534161
"16","7","17",12653.712709194
"16","6","17",12433.979296621
"16","10","3",12075.335603228
"16","5","17",11413.678069497
"16","3","17",11281.4421109317
"16","12","17",11212.6141646333
"15","10","17",10756.0350808048
"17","2","8",10189.6300517458
"16","1","6",9983.2450885887
"15","11","3",9785.604524512
"16","4","17",9145.822891769
"16","12","3",8904.8075871327
"17","3","17",8776.643421655
"16","2","3",8339.533044503
"16","2","8",8129.0157020868
"15","12","17",7001.1395160414
"16","2","17",6445.2954444
"15","11","17",6250.4555854585
"16","11","17",6170.2666538346
"17","4","17",6009.127046387
"17","2","17",4710.3119920542
"16","7","18",4217.51899835
"17","1","17",4016.5809486202
"16","8","18",3874.548440528
"16","5","18",2876.36610175
"16","10","18",1408.65459769
"16","4","18",1299.061147788
"17","2","18",1050.35848105
"15","12","18",904.580832166
"16","6","18",831.893893562
"17","4","18",795.17001893
"16","11","18",547.28671078
"16","9","18",459.862461573
"17","1","18",350.308540967
"17","3","18",289.1368745
"16","1","18",286.5517464
"16","3","18",232.056357693
"16","2","18",187.340834879
"15","10","18",120.508768841
"15","11","18",92.265901946
"16","12","18",67.074254595
