"Anyo","Mes","Destino_CCAA","Gasto_Real"
"2017","1","1",562996529.575663
"2015","12","1",554088284.190733
"2017","3","13",551995114.921032
"2015","10","10",547506902.481291
"2017","2","13",540639446.187918
"2015","11","1",530291622.366959
"2016","3","13",524864042.267164
"2016","12","13",519543852.429403
"2017","3","10",513006598.689533
"2016","11","13",510955188.761187
"2016","1","1",508571062.279776
"2016","2","1",486689957.978162
"2016","1","13",465090296.360198
"2015","11","13",453508747.144906
"2016","12","10",441953314.30714
"2017","2","10",429158586.293505
"2016","3","10",428186814.506355
"2016","2","13",417443761.724915
"2015","12","13",402232364.339124
"2017","1","10",390023218.534655
"2016","11","10",368469054.539373
"2016","3","4",356418857.159933
"2016","2","10",319117810.877788
"2015","12","10",314308634.431845
"2016","1","10",308130267.11121
"2017","3","4",296370887.855466
"2015","11","10",282476224.273866
"2016","8","16",219057621.101554
"2016","9","16",207286879.17537
"2015","10","16",185458668.407356
"2016","7","16",178220546.787748
"2016","2","4",170041790.222648
"2015","12","16",164985584.819289
"2016","8","14",162277709.209893
"2017","2","4",147602404.572321
"2017","4","16",145970977.271849
"2016","11","4",141126521.029285
"2016","6","14",139305452.691981
"2016","10","16",138025600.799988
"2016","8","12",131632537.110388
"2015","11","4",130986247.989585
"2016","10","12",130746170.061436
"2016","5","16",125242448.75207
"2015","11","16",119337045.733902
"2016","6","12",117356295.548547
"2016","12","4",113579212.26357
"2016","7","12",110846842.670619
"2016","6","16",110036858.976908
"2016","7","14",110001244.774849
"2016","12","16",104527284.059056
"2017","1","4",102403862.842568
"2016","11","16",100259247.81896
"2017","4","14",99580793.6991741
"2015","12","4",98679675.093418
"2017","4","12",98332555.3948019
"2016","4","16",96678027.3128478
"2016","1","4",96551135.0600836
"2017","1","16",96405445.1449375
"2016","1","16",94449548.6978485
"2016","5","14",94202335.1945213
"2016","4","14",92727379.4069267
"2016","3","16",89935872.0213835
"2016","8","7",89668607.9833786
"2016","9","12",89591921.8586029
"2015","10","14",88559644.542976
"2017","2","16",82676602.8595006
"2016","2","16",79920301.588319
"2017","3","16",78997033.4855817
"2016","10","14",74646817.74926
"2016","6","7",72714589.917049
"2017","3","14",70727737.1475163
"2015","10","6",69684757.3190639
"2016","9","14",69249367.0064091
"2016","9","7",69199274.4170929
"2016","7","6",69131793.9170414
"2016","8","6",67885742.439895
"2016","5","12",66810861.3377993
"2016","6","6",62846269.925502
"2016","7","7",62791594.7115884
"2016","12","12",61520676.2471321
"2016","3","14",57774176.559472
"2017","1","12",56413709.6736154
"2017","3","7",55288108.9788029
