"Anyo","Mes","Pais","Viajeros"
"16","4","12",180378.504907198
"16","11","14",179976.520183592
"16","4","14",177511.059819959
"16","8","11",170055.090857862
"16","3","2",165974.193029425
"16","2","7",163898.294604113
"16","11","7",159745.648792341
"16","3","14",156815.903857376
"17","1","7",156449.114830258
"16","11","2",155896.201409647
"17","3","2",155387.030963758
"16","7","11",155282.204674709
"15","12","7",155098.366063529
"15","11","14",154385.606618126
"16","12","14",149077.134175626
"16","12","7",148961.03678069
"15","10","5",148257.243619397
"15","11","2",147651.226140029
"16","3","12",146789.632152288
"16","1","7",144975.203533603
"17","3","12",143830.77483913
"15","11","7",142007.063569166
"17","2","12",141931.381133904
"16","2","2",139158.914370021
"16","9","11",137101.199709796
"16","6","11",132971.850456297
"17","2","2",132225.182614999
"16","11","12",128996.282788578
"15","12","2",127819.370996239
"16","4","5",127362.621542414
"15","12","12",126140.766248472
"16","1","2",125475.694541911
"17","1","12",124998.112409798
"16","12","2",123178.547037895
"15","11","12",122821.566964559
"17","1","2",120243.091874722
"16","1","12",117114.422254243
"17","2","14",116461.731338101
"16","12","12",115847.427845498
"16","3","5",114523.045227191
"15","12","14",110694.816620836
"17","1","14",110349.034813868
"16","2","12",109146.053871623
"17","3","5",100056.008438572
"16","11","5",96223.8400321363
"16","2","14",95206.8985892021
"16","1","14",89367.3553015868
"17","1","5",88728.1936221223
"16","5","11",88154.527465211
"16","10","11",82374.5542922807
"16","12","5",81494.0947477393
"17","2","5",79458.9307857361
"16","1","5",73368.16490057
"17","4","11",73135.04208127
"17","1","11",73128.090399692
"16","2","5",72620.4872245246
"15","11","5",70769.7077238561
"16","1","11",69719.2268018129
"15","10","11",65779.7072151313
"15","12","5",61515.612205154
"16","4","11",57526.09364283
"17","3","11",56100.929745618
"15","11","11",52957.1498770984
"17","2","11",52657.503484368
"16","3","11",49570.443723055
"16","12","11",48085.0597129721
"16","11","11",44341.787140357
"15","12","11",42608.3715147621
"16","2","11",40270.790114612
