A0_1;C9_0;ccaa_etapa;pernoc_etapa
20170200015895;01;05;1
20170200015895;02;05;39
20170200017057;01;01;2
20170200017093;01;01;1
20170200017099;01;01;1
20170200017315;01;09;7
20170200017321;01;09;2
20170200017321;02;09;1
20170200017326;01;13;7
20170200017329;01;02;7
20170200017339;01;09;4
20170200017349;01;09;1
20170200017355;01;13;2
20170200017355;02;09;2
20170200017358;01;09;1
20170200017365;01;13;6
20170200017370;01;13;3
20170200017794;01;09;7
20170200017795;01;09;14
20170200017796;01;09;12
20170200017797;01;09;3
20170200018491;01;10;2
20170200018494;01;10;3
20170200018495;01;10;2
20170200018567;01;10;2
20170200018568;01;10;2
20170200018569;01;10;2
20170200018569;02;10;2
20170200018570;01;10;2
20170200018755;01;13;1
20170200018755;02;17;1
20170200018756;01;13;8
20170200018757;01;13;1
20170200018758;01;13;10
20170200018864;01;13;2
20170200018867;01;13;4
20170200019038;01;12;2
20170200019041;01;12;1
20170200019041;02;12;1
20170200019046;01;12;1
20170200020017;01;04;4
20170200020292;01;01;4
20170200020293;01;08;3
20170200020294;01;13;3
20170200020294;02;15;1
20170200020295;01;13;4
20170200020297;01;13;3
20170200020298;01;13;2
20170200020345;01;13;3
20170200020500;01;01;6
20170200020502;01;11;1
20170200020502;02;01;1
20170200020518;01;01;1
20170200020537;01;01;3
20170200022308;01;01;4
20170200022355;01;01;2
20170200022359;01;01;2
20170200022360;01;01;8
20170200022665;01;10;4
20170200023264;01;16;1
20170200023264;02;16;2
20170200023356;01;01;4
20170200023357;01;01;3
20170200023357;02;01;2
20170200023357;03;01;2
20170200023424;01;01;3
20170200023426;01;01;3
20170200023821;01;09;3
20170200023821;02;16;2
20170200024031;01;04;5
20170200024032;01;04;7
20170200024033;01;04;30
20170200024034;01;04;7
20170200024037;01;04;14
20170200024039;01;04;4
20170200024040;01;04;7
20170200024803;01;01;10
20170200024904;01;13;3
20170200024905;01;08;6
20170200025198;01;10;7
20170200025199;01;10;7
20170200025200;01;10;1
20170200025200;02;10;3
20170200025200;03;09;1
20170200025201;01;14;4
20170200025201;02;10;3
20170200025303;01;10;10
20170200026429;01;07;1
20170200026538;01;13;3
20170200026889;01;09;4
20170200027848;01;10;3
20170200027849;01;10;3
20170200027899;01;10;2
20170200027900;01;10;4
20170200027932;01;10;45
20170200027933;01;08;3
20170200027934;01;10;4
20170200027988;01;13;2
20170200027989;01;10;4
20170200028068;01;12;6
20170200028074;01;13;3
20170200028074;02;09;3
20170200028075;01;10;3
20170200028081;01;09;5
20170200028087;01;13;3
20170200028087;02;01;2
20170200028087;03;10;1
20170200028087;04;09;3
20170200028088;01;09;1
20170200028094;01;09;3
20170200028109;01;09;5
20170200028109;02;10;5
20170200028112;01;09;4
20170200028125;01;09;15
20170200028129;01;10;30
20170200028136;01;09;15
20170200028143;01;09;3
20170200028146;01;10;10
20170200028153;01;09;2
20170200028162;01;09;3
20170200028164;01;09;4
20170200028164;02;09;36
20170200028168;01;09;4
20170200028692;01;13;1
20170200029034;01;09;4
20170200029043;01;10;18
20170200029043;02;01;3
20170200029051;01;09;5
20170200029064;01;09;7
20170200029064;02;09;3
20170300000002;01;10;60
20170300000003;01;10;4
20170300000004;01;14;7
20170300000005;01;14;3
20170300000006;01;14;3
20170300000007;01;14;7
20170300000009;01;10;4
20170300000011;01;10;3
20170300000013;01;14;7
20170300000015;01;14;84
20170300000019;01;14;8
20170300000020;01;14;7
20170300000022;01;14;3
20170300000024;01;14;20
20170300000026;01;10;7
20170300000027;01;14;7
20170300000028;01;14;7
20170300000029;01;03;7
20170300000030;01;10;4
20170300000194;01;05;38
20170300000194;02;10;1
20170300000194;03;01;1
20170300000194;04;01;1
20170300000194;05;07;1
20170300000194;06;16;1
20170300000202;01;16;3
20170300000316;01;09;6
20170300000321;01;10;14
20170300000321;02;09;3
20170300000321;03;09;1
20170300000322;01;13;3
20170300000324;01;10;14
20170300000326;01;10;3
